@relation atributos

@attribute largura numeric
@attribute altura numeric
@attribute posicaoX-relativa numeric
@attribute posicaoY-relativa numeric
@attribute entropia numeric
@attribute segundo-momento-ang numeric
@attribute correlacao numeric
@attribute energia numeric
@attribute media numeric
@attribute variancia numeric
@attribute desvio-padrao numeric
@attribute contraste numeric
@attribute homogeneidade numeric
@attribute dissimilaridade numeric
@attribute media-tons-cinza numeric
@attribute class {atencao,normal}

@data
38,39,7,8,0.555772,0.444563,0.688872,0.666612,11.136923,0.283463,0.532409,0.176375,0.911813,0.176375,93,normal
20,19,7,8,0.568514,0.329043,0.689319,0.573292,14.588383,0.310037,0.556609,0.194383,0.902809,0.194383,121,normal
39,15,4,9,0.376806,0.550944,0.690327,0.742171,17.229282,0.178964,0.423026,0.11069,0.944655,0.11069,143,normal
18,23,5,8,1.114002,0.098602,0.690718,0.31373,12.816264,1.113723,1.05514,0.697309,0.730213,0.578758,107,normal
9,8,9,7,0.771406,0.212812,0.691482,0.460793,7.54238,0.526482,0.724297,0.353733,0.829086,0.344804,65,normal
20,9,6,6,0.629279,0.31055,0.691681,0.557176,8.49455,0.356089,0.596581,0.224644,0.887678,0.224644,72,normal
62,13,7,7,0.740912,0.255391,0.691934,0.505289,16.40253,0.451592,0.671966,0.279062,0.86456,0.272925,135,normal
10,22,0,7,0.598758,0.329746,0.692763,0.57393,14.683063,0.323104,0.568373,0.199892,0.900054,0.199892,122,normal
11,13,4,9,0.806789,0.213641,0.696164,0.461681,14.881308,0.567887,0.751933,0.366958,0.832683,0.342716,123,normal
19,10,3,7,0.793436,0.221195,0.698672,0.469867,13.781648,0.530685,0.727944,0.32327,0.844332,0.314319,114,normal
14,16,4,9,0.518688,0.369577,0.699267,0.607669,13.441718,0.268539,0.518129,0.16171,0.919145,0.16171,112,normal
17,31,6,7,0.377126,0.539754,0.706324,0.734619,12.240148,0.182222,0.42676,0.107747,0.946126,0.107747,103,normal
24,22,4,8,0.834998,0.197715,0.706883,0.444216,5.389295,0.577134,0.75963,0.340176,0.836032,0.330996,47,normal
21,13,3,9,1.17834,0.105445,0.70691,0.324352,8.106342,1.772023,1.330275,1.05364,0.702887,0.695635,69,normal
23,15,8,9,0.482805,0.401197,0.706921,0.633266,17.612094,0.250865,0.500661,0.150543,0.924728,0.150543,145,normal
45,8,4,0,0.619465,0.33605,0.708795,0.579475,10.157115,0.343815,0.586227,0.205337,0.897332,0.205337,85,normal
24,11,3,9,0.875192,0.165289,0.709395,0.406288,8.131322,0.660594,0.812736,0.396966,0.811602,0.381839,69,normal
22,12,4,9,0.62561,0.308252,0.710838,0.554938,11.69622,0.356237,0.596711,0.209145,0.895427,0.209145,98,normal
32,29,5,9,1.002665,0.132032,0.714208,0.363092,11.309661,0.864026,0.929524,0.495612,0.784524,0.44701,94,normal
17,11,6,0,0.26491,0.70691,0.719174,0.840775,8.89065,0.115611,0.337601,0.075936,0.962032,0.075936,75,normal
46,40,8,8,1.235597,0.07798,0.721665,0.279142,6.835657,1.538741,1.240377,0.860001,0.703065,0.657626,59,normal
40,26,3,8,0.561448,0.35761,0.722009,0.597782,10.386682,0.300413,0.548051,0.168469,0.915766,0.168469,87,normal
16,27,2,9,0.592778,0.316981,0.722688,0.562823,10.47534,0.344497,0.586708,0.195572,0.902214,0.195572,88,normal
16,12,7,6,0.911354,0.161961,0.724916,0.400968,13.234596,0.826149,0.908718,0.457702,0.836711,0.357702,110,normal
14,10,6,8,0.959066,0.131021,0.725238,0.361001,13.67384,0.90953,0.953316,0.519414,0.800084,0.428205,113,normal
23,24,6,8,0.823923,0.209221,0.726439,0.457076,8.3014,0.599076,0.773872,0.331104,0.838372,0.325218,70,normal
23,24,6,8,0.823923,0.209221,0.726439,0.457076,8.3014,0.599076,0.773872,0.331104,0.838372,0.325218,70,normal
14,23,8,7,0.929649,0.171696,0.727851,0.413775,12.627519,0.77896,0.882393,0.425059,0.813637,0.385153,105,normal
28,17,3,8,0.790652,0.224133,0.730304,0.47292,13.352168,0.537823,0.733185,0.292304,0.856163,0.288832,111,normal
